cve,publicada,cvss,cvss_severidad,cvss_version,epss,epss_percentil,kev_fabricante,kev_producto,kev_fecha_agregada,kev_ransomware,explotada,cvss_banda,epss_alto,prioridad,riesgo_base,riesgo
CVE-2026-0685,2026-06-26,9.8,CRITICAL,3.1,0.00726,0.5035,,,,,False,Crítica,False,3 - Grave pero sin explotación conocida,0.0711,0.0711
CVE-2026-47207,2026-06-26,6.5,MEDIUM,3.1,0.00293,0.21466,,,,,False,Media,False,4 - Seguimiento normal,0.019,0.019
CVE-2026-47220,2026-06-26,7.5,HIGH,3.1,0.00424,0.34787,,,,,False,Alta,False,4 - Seguimiento normal,0.0318,0.0318
CVE-2026-47193,2026-06-26,7.5,HIGH,3.1,0.00252,0.16747,,,,,False,Alta,False,4 - Seguimiento normal,0.0189,0.0189
CVE-2026-53287,2026-06-26,5.5,MEDIUM,3.1,0.00123,0.02409,,,,,False,Media,False,4 - Seguimiento normal,0.0068,0.0068
CVE-2026-53297,2026-06-26,5.5,MEDIUM,3.1,0.00121,0.0225,,,,,False,Media,False,4 - Seguimiento normal,0.0067,0.0067
CVE-2026-11364,2026-06-27,4.3,MEDIUM,3.1,0.00212,0.11593,,,,,False,Media,False,4 - Seguimiento normal,0.0091,0.0091
CVE-2026-10763,2026-06-30,7.0,HIGH,4.0,0.00253,0.16777,,,,,False,Alta,False,4 - Seguimiento normal,0.0177,0.0177
CVE-2026-12610,2026-06-30,6.4,MEDIUM,3.1,0.00121,0.02294,,,,,False,Media,False,4 - Seguimiento normal,0.0077,0.0077
CVE-2026-10564,2026-06-30,8.2,HIGH,3.1,0.00199,0.10011,,,,,False,Alta,False,4 - Seguimiento normal,0.0163,0.0163
CVE-2025-36359,2026-06-30,8.1,HIGH,3.1,0.00193,0.09233,,,,,False,Alta,False,4 - Seguimiento normal,0.0156,0.0156
CVE-2026-13792,2026-06-30,9.6,CRITICAL,3.1,0.00325,0.24934,,,,,False,Crítica,False,3 - Grave pero sin explotación conocida,0.0312,0.0312
CVE-2026-13823,2026-06-30,8.3,HIGH,3.1,0.00295,0.21682,,,,,False,Alta,False,4 - Seguimiento normal,0.0245,0.0245
CVE-2026-13835,2026-06-30,8.8,HIGH,3.1,0.00325,0.24935,,,,,False,Alta,False,4 - Seguimiento normal,0.0286,0.0286
CVE-2026-13847,2026-06-30,6.5,MEDIUM,3.1,0.00308,0.23037,,,,,False,Media,False,4 - Seguimiento normal,0.02,0.02
CVE-2026-13885,2026-06-30,8.8,HIGH,3.1,0.00374,0.30035,,,,,False,Alta,False,4 - Seguimiento normal,0.0329,0.0329
CVE-2026-13895,2026-06-30,4.2,MEDIUM,3.1,0.00218,0.12443,,,,,False,Media,False,4 - Seguimiento normal,0.0092,0.0092
CVE-2026-13924,2026-06-30,6.5,MEDIUM,3.1,0.00315,0.23813,,,,,False,Media,False,4 - Seguimiento normal,0.0205,0.0205
CVE-2026-13950,2026-06-30,5.3,MEDIUM,3.1,0.00307,0.22999,,,,,False,Media,False,4 - Seguimiento normal,0.0163,0.0163
CVE-2026-13995,2026-06-30,4.3,MEDIUM,3.1,0.00222,0.12846,,,,,False,Media,False,4 - Seguimiento normal,0.0095,0.0095
CVE-2026-14010,2026-06-30,6.5,MEDIUM,3.1,0.00311,0.23399,,,,,False,Media,False,4 - Seguimiento normal,0.0202,0.0202
